id,transaction_date,amount,created_at
10106,2021-09-03,3638.88,2022-10-31
10107,2021-10-21,2206.95,2021-04-24
10108,2021-12-07,1615.55,2022-04-23
10109,2023-04-18,3545.03,2023-06-03
10110,2021-09-26,1777.84,2023-06-02
10111,2022-02-07,3941.61,2022-09-17
10112,2022-12-14,-769.72,2022-08-31
10113,2022-04-16,772.06,2022-11-13
10114,2021-08-23,662.02,2022-04-18
10115,2023-06-07,2316.12,2022-02-10
10116,2021-12-10,3970.23,2022-12-18
10117,2022-08-13,2802.33,2021-05-22
10118,2022-04-26,2527.70,2023-09-14
10119,2021-04-24,992.82,2022-03-08
10120,2023-04-01,602.46,2021-10-23
10121,2021-02-02,3192.03,2022-10-29
10122,2021-01-21,4792.92,2022-06-22
10123,2021-11-16,79.13,2023-05-28
10124,2022-08-19,1331.11,2021-08-01
10125,2021-08-24,1980.66,2021-07-25
10126,2021-12-29,471.06,2022-03-30
10127,2022-11-24,862.69,2022-10-12
10128,2023-02-19,2324.49,2023-03-23
10129,2022-10-25,4161.17,2023-11-25
10130,2021-03-12,2702.72,2023-04-13
10131,2021-03-20,4302.27,2022-06-11
10132,2023-07-29,4569.39,2023-04-11
10133,2023-02-02,-15.29,2021-12-06
10134,2021-12-24,1935.51,2023-12-09
10135,2021-06-14,768.03,2021-10-16
10136,2021-10-30,3228.25,2021-08-14
10137,2022-12-20,1002.16,2022-04-14
10138,2022-04-06,-821.42,2023-12-06
10139,2021-01-12,1999.05,2021-07-30
10140,2022-12-09,3704.95,2023-04-02
10141,2023-09-08,4702.68,2022-08-27
10142,2022-06-20,2186.22,2021-04-18
10143,2022-11-12,823.74,2021-10-28
10144,2022-08-10,1737.02,2021-03-26
10145,2021-01-17,687.10,2021-04-26
10146,2021-12-30,4700.85,2023-06-27
10147,2023-12-02,-922.54,2023-11-14
10148,2022-11-04,2195.28,2022-04-02
10149,2023-05-05,-379.47,2023-05-18
10150,2021-11-13,3783.02,2022-12-30
10151,2023-11-26,53.19,2022-05-27
10152,2022-03-12,261.32,2021-04-24
10153,2021-04-16,1282.07,2021-02-05
10154,2021-02-04,1615.57,2022-09-02
10155,2022-02-21,189.68,2022-02-26
10156,2023-03-16,-528.21,2023-04-16
10157,2021-05-10,2634.87,2022-04-27
10158,2022-02-23,-987.61,2023-10-08
10159,2023-01-08,2557.70,2021-01-12
10160,2021-07-18,3517.04,2023-12-22
10161,2023-03-25,673.78,2022-06-17
10162,2021-08-28,3700.68,2023-01-07
10163,2023-02-18,-809.15,2023-11-15
10164,2021-08-13,1321.13,2023-11-26
10165,2021-11-05,485.20,2023-12-27
10166,2022-12-25,1881.63,2023-11-11
10167,2023-03-16,3288.16,2021-07-20
10168,2023-03-09,536.15,2023-05-31
10169,2021-08-04,2976.99,2021-09-09
10170,2023-03-14,3869.29,2023-12-01
10171,2022-02-09,-743.21,2021-06-22
10172,2023-11-27,4138.40,2021-09-08
10173,2023-07-05,905.92,2023-01-13
10174,2023-02-12,-617.06,2023-12-26
10175,2021-05-14,3709.72,2023-03-05
10176,2023-11-02,-991.55,2021-01-20
10177,2022-09-19,-136.55,2022-12-16
10178,2022-11-01,2902.69,2023-08-31
10179,2021-01-24,4659.53,2022-07-18
10180,2021-06-16,-375.26,2022-12-25
10181,2022-11-29,1680.11,2023-09-09
10182,2021-03-02,-122.11,2021-01-10
10183,2021-09-04,996.57,2022-05-19
10184,2023-07-01,739.19,2023-05-04
10185,2021-10-21,3425.54,2022-11-19
10186,2021-07-19,-176.87,2022-06-29
10187,2022-08-06,-686.59,2022-12-30
10188,2023-11-18,2978.71,2022-03-24
10189,2022-08-18,1132.81,2021-08-03
10190,2022-07-09,-892.36,2023-08-04
10191,2023-04-05,409.35,2023-08-28
10192,2022-08-29,-955.69,2021-01-27
10193,2023-01-31,926.73,2022-10-02
10194,2023-01-22,564.70,2022-07-05
10195,2022-08-25,2429.01,2022-01-21
10196,2023-09-25,3847.31,2023-10-17
10197,2023-03-06,434.96,2022-09-17
10198,2021-10-10,714.02,2021-10-28
10199,2021-03-15,2419.72,2021-04-02
10200,2022-04-07,4586.79,2022-11-23
10201,2023-09-11,3002.80,2021-07-10
10202,2021-01-08,1501.27,2022-05-23
10203,2023-07-03,3945.90,2023-01-20
10204,2022-06-27,211.31,2022-06-14
10205,2022-11-02,1902.85,2023-11-16
10206,2023-07-17,3034.45,2023-08-12
10207,2021-07-09,2083.37,2022-02-17
10208,2022-01-11,175.96,2023-07-02
10209,2022-01-17,-479.60,2022-12-05
10210,2022-09-28,2696.94,2022-05-21
10211,2022-03-27,1075.18,2021-05-03
10212,2023-11-22,4060.03,2022-09-13
10213,2023-01-04,3642.41,2023-06-15
10214,2021-11-17,2246.33,2022-03-02
10215,2023-07-05,475.21,2021-09-26
10216,2022-08-11,1888.89,2022-11-16
10217,2021-08-31,586.97,2023-02-04
10218,2023-07-22,3883.66,2022-12-15
10219,2021-05-05,2933.06,2021-05-29
10220,2022-03-22,-773.51,2021-10-10
10221,2022-04-28,3307.64,2022-01-22
10222,2021-07-10,2800.03,2022-12-03
10223,2021-12-28,2693.73,2023-02-23
10224,2022-07-04,519.39,2022-07-31
10225,2022-08-27,71.80,2023-02-13
10226,2022-02-27,2335.63,2023-07-09
10227,2022-02-26,761.95,2022-05-14
10228,2021-08-09,3622.44,2023-05-02
10229,2023-09-23,708.71,2022-06-03
10230,2023-08-27,87.25,2021-05-21
10231,2023-06-16,2385.37,2022-10-09
10232,2021-09-14,3841.65,2021-07-10
10233,2022-01-17,1941.09,2022-08-01
10234,2022-01-08,2539.22,2022-05-07
10235,2021-06-15,-579.76,2022-08-13
10236,2021-04-19,1839.21,2022-08-18
10237,2021-06-13,4369.88,2022-12-08
10238,2021-05-31,-506.76,2021-12-28
10239,2023-06-28,206.60,2022-05-18
10240,2021-06-08,2155.31,2021-12-23
10241,2023-01-14,-673.87,2023-04-23
10242,2022-01-30,4862.09,2022-03-26
10243,2023-06-04,2654.33,2022-01-30
10244,2021-08-24,1521.38,2021-04-22
10245,2022-08-29,382.42,2021-06-25
10246,2021-09-18,858.50,2021-04-11
10247,2021-11-20,4732.79,2021-11-15
10248,2021-01-31,2890.70,2021-07-12
10249,2021-08-21,4888.42,2023-01-01
10250,2022-10-19,23.79,2023-08-28
10251,2023-12-25,3368.17,2021-12-02
10252,2023-04-18,4028.42,2022-05-21
10253,2022-05-21,649.71,2021-05-03
10254,2023-06-30,2802.30,2021-05-29
10255,2021-11-30,1421.88,2022-06-29
10256,2022-07-25,2135.78,2022-11-26
10257,2021-02-25,4169.95,2022-01-24
10258,2022-12-23,4115.64,2021-03-09
10259,2021-04-29,4084.60,2022-07-04
10260,2023-01-27,4734.70,2023-02-12
10261,2023-07-03,3196.92,2023-10-13
10262,2023-08-11,476.69,2022-03-25
10263,2023-09-15,1447.95,2023-10-01
10264,2023-10-08,259.30,2023-12-20
10265,2021-03-22,2102.42,2021-04-07
10266,2023-11-10,853.94,2021-11-12
10267,2022-11-27,-198.28,2021-11-18
10268,2023-03-27,-931.98,2023-11-20
10269,2021-04-17,2384.63,2021-12-29
10270,2021-12-16,3053.01,2021-11-05
10271,2021-11-18,2544.65,2023-09-07
10272,2021-06-07,-314.65,2021-11-29
10273,2021-04-26,874.48,2023-01-17
10274,2023-06-05,3237.32,2021-07-16
10275,2023-10-20,-99.33,2022-10-05
10276,2022-05-06,4822.44,2021-10-23
10277,2021-03-14,-655.39,2021-09-26
10278,2022-07-17,500.11,2021-03-28
10279,2022-12-09,4584.41,2022-05-06
10280,2021-09-27,2253.03,2023-12-18
10281,2021-07-27,3704.66,2021-10-16
10282,2022-01-02,3366.21,2023-06-20
10283,2023-04-14,2212.91,2021-08-13
10284,2021-08-03,4861.62,2023-02-17
10285,2022-10-21,3359.41,2023-09-13
10286,2022-01-29,1508.28,2023-11-05
10287,2021-07-08,2062.79,2023-05-09
10288,2022-11-06,2903.32,2021-10-18
10289,2021-05-29,1670.29,2023-03-30
10290,2023-08-26,4066.06,2022-06-10
10291,2023-08-01,166.40,2021-07-01
10292,2021-11-21,1278.22,2022-05-21
10293,2023-03-29,584.49,2022-10-22
10294,2023-03-31,-719.79,2023-05-28
10295,2023-01-13,1243.66,2021-04-24
10296,2022-10-09,454.28,2021-01-08
10297,2022-11-21,4805.95,2022-03-20
10298,2023-05-22,2550.72,2022-04-14
10299,2021-04-01,917.54,2023-06-10
10300,2023-07-13,3704.09,2021-11-12
10301,2021-08-18,602.36,2021-12-26
10302,2023-01-07,466.25,2022-07-16
10303,2022-10-09,4966.49,2022-03-26
10304,2021-11-22,-66.61,2023-12-17
10305,2023-03-04,3314.80,2021-06-28
10306,2021-08-21,3304.71,2021-01-05
10307,2021-06-06,2212.09,2021-02-17
10308,2021-05-19,2696.23,2021-02-04
10309,2023-11-01,1056.08,2022-07-31
10310,2021-02-11,4953.53,2022-11-14
10311,2022-01-06,3501.08,2021-04-27
10312,2023-06-03,2687.73,2022-03-20
10313,2021-01-23,-426.15,2023-04-20
10314,2022-06-03,2577.04,2022-01-10
10315,2021-11-01,3773.79,2022-02-21
10316,2022-07-22,1758.74,2021-12-25
10317,2022-01-14,-476.92,2021-05-23
10318,2022-12-19,4261.28,2021-09-19
10319,2021-06-13,1827.03,2022-01-03
10320,2022-06-11,1011.16,2022-03-07
10321,2021-08-27,3571.76,2022-08-16
10322,2023-10-09,2280.48,2022-01-04
10323,2022-08-04,2898.55,2022-10-07
10324,2021-01-17,2704.96,2021-04-16
10325,2022-10-16,4402.41,2021-07-30
10326,2023-05-01,1522.04,2021-08-18
10327,2022-05-07,-308.78,2023-10-07
10328,2021-01-12,2597.87,2022-11-23
10329,2022-02-09,3975.19,2023-11-23
10330,2023-07-13,3705.46,2023-12-28
10331,2023-05-29,3686.27,2022-01-03
10332,2022-02-17,367.68,2023-08-12
10333,2021-09-30,1476.42,2022-10-17
10334,2021-05-06,2132.52,2022-10-02
10335,2022-10-04,-785.69,2023-03-22
10336,2023-06-14,1123.61,2022-09-27
10337,2022-01-01,-946.06,2022-07-20
10338,2023-07-10,1529.83,2022-08-08
10339,2021-06-24,1085.91,2022-05-18
10340,2022-09-07,448.43,2023-05-13
10341,2022-12-16,1825.07,2023-09-15
10342,2022-09-20,-344.78,2023-06-02
10343,2023-11-16,-978.71,2023-11-13
10344,2021-01-18,2516.62,2022-09-01
10345,2022-09-13,221.35,2021-02-17
10346,2022-06-05,4913.05,2021-03-08
10347,2022-12-06,1385.30,2021-04-23
10348,2023-03-15,3920.83,2023-09-26
10349,2021-03-03,-300.74,2021-12-24
10350,2023-10-13,3163.33,2021-05-25
10351,2021-05-13,2743.61,2023-02-23
10352,2023-12-13,586.35,2021-10-29
10353,2023-05-14,2901.25,2022-02-20
10354,2023-08-13,3706.02,2022-12-16
10355,2021-05-16,2351.12,2021-05-26
10356,2023-02-06,4806.15,2023-09-05
10357,2023-05-02,-775.85,2023-01-02
10358,2021-02-12,4492.39,2021-09-23
10359,2022-08-27,4328.02,2023-01-21
10360,2022-08-21,-81.35,2022-12-08
10361,2022-12-05,-145.65,2021-03-29
10362,2022-04-03,1124.10,2023-11-10
10363,2023-03-10,2157.04,2022-12-29
10364,2023-06-25,1397.97,2021-11-20
10365,2023-09-22,3102.92,2023-10-21
10366,2022-10-31,568.05,2021-07-23
10367,2021-02-24,-200.81,2021-12-04
10368,2023-12-06,714.42,2021-08-25
10369,2021-09-02,3254.46,2022-02-16
10370,2021-08-14,3626.79,2021-10-04
10371,2023-10-26,2294.76,2022-01-18
10372,2021-09-01,4079.78,2021-03-03
10373,2023-04-26,3279.56,2023-03-05
10374,2023-08-15,431.11,2021-05-21
10375,2023-06-23,341.37,2022-07-16
10376,2021-09-28,1924.97,2022-01-29
10377,2021-04-27,3623.99,2021-01-07
10378,2021-05-25,4479.99,2022-05-09
10379,2023-08-26,2939.90,2023-07-21
10380,2021-07-25,507.30,2023-12-26
10381,2023-01-30,406.19,2021-10-22
10382,2022-09-20,1926.91,2022-09-19
10383,2022-09-09,-105.98,2021-04-29
10384,2023-05-15,1801.38,2022-03-05
10385,2022-01-03,4682.45,2021-05-05
10386,2023-09-26,2671.81,2022-04-14
10387,2023-07-21,568.36,2023-06-02
10388,2021-01-18,-599.12,2021-08-16
10389,2021-12-17,1054.04,2021-09-20
10390,2021-08-09,1154.44,2023-06-30
10391,2023-12-26,140.50,2023-06-06
10392,2022-09-28,4058.55,2022-06-08
10393,2022-06-07,1383.93,2023-05-22
10394,2022-11-04,640.57,2021-05-14
10395,2021-08-06,2747.78,2021-02-19
10396,2021-12-23,2552.33,2023-11-03
10397,2023-03-26,-482.29,2022-07-11
10398,2021-06-11,1274.11,2021-10-29
10399,2023-08-13,2827.45,2022-03-11
10400,2022-05-21,4293.17,2021-10-21
10401,2021-04-21,1436.83,2022-01-21
10402,2022-07-22,1466.89,2023-01-24
10403,2023-01-04,3714.89,2023-10-09
10404,2022-10-02,1044.05,2021-05-20
10405,2023-10-26,1206.49,2021-08-27
10406,2023-07-18,4824.29,2023-03-06
10407,2023-05-04,2129.52,2021-06-23
10408,2023-02-10,3625.83,2023-05-06
10409,2022-06-26,4143.99,2023-10-04
10410,2021-06-21,1875.49,2021-08-24
10411,2021-06-29,865.27,2023-02-04
10412,2021-08-27,3419.79,2022-09-02
10413,2022-08-26,1921.73,2023-09-26
10414,2022-07-25,-693.71,2023-03-17
10415,2023-01-30,2500.54,2022-08-14
10416,2023-12-16,-88.42,2022-12-04
10417,2021-05-05,4518.38,2022-01-18
10418,2022-10-24,3276.89,2022-06-25
10419,2023-12-04,14.28,2022-01-05
10420,2023-04-10,2678.09,2023-09-14
10421,2021-04-01,433.70,2021-11-25
10422,2023-12-06,67.37,2022-08-24
10423,2023-02-16,-192.46,2021-03-10
10424,2022-09-23,3902.29,2022-07-19
10425,2022-03-24,1518.18,2021-05-21
10426,2022-04-14,-981.48,2022-12-13
10427,2023-12-16,-71.43,2022-10-23
10428,2022-09-30,1257.37,2023-03-03
10429,2023-01-18,-502.33,2021-07-13
10430,2022-09-25,2358.34,2023-05-11
10431,2021-08-08,2779.45,2023-04-17
10432,2022-07-27,2208.44,2022-03-12
10433,2021-08-14,1664.01,2023-10-28
10434,2022-12-03,-935.59,2022-10-10
10435,2022-01-16,3822.26,2021-09-05
10436,2023-04-01,3887.42,2021-07-24
10437,2021-09-08,-967.80,2022-12-18
10438,2021-04-07,1566.27,2022-04-23
10439,2023-05-28,3670.69,2021-11-05
10440,2021-12-06,3936.00,2022-09-12
10441,2021-10-01,-650.89,2021-07-15
10442,2021-09-04,2120.15,2023-07-10
10443,2022-01-05,-998.56,2022-06-02
10444,2021-03-25,343.28,2022-03-20
10445,2023-04-26,3399.63,2023-07-21
10446,2022-05-11,998.10,2022-02-25
10447,2021-09-06,-257.30,2022-07-18
10448,2023-04-30,1612.61,2023-06-16
10449,2022-06-16,4618.40,2022-06-05
10450,2022-03-09,2199.84,2021-07-17
10451,2023-03-14,3542.78,2021-12-09
10452,2023-03-20,1434.35,2022-09-29
10453,2021-02-26,3298.20,2023-12-01
10454,2021-01-06,-837.53,2023-05-19
10455,2021-08-12,2179.16,2021-09-15
10456,2021-02-04,1113.01,2023-06-22
10457,2023-04-16,2480.10,2023-05-20
10458,2022-10-09,1122.51,2023-05-26
10459,2021-08-10,4051.91,2021-03-01
10460,2022-04-01,836.41,2023-07-30
10461,2022-02-12,4047.78,2022-06-18
10462,2022-06-12,4841.67,2021-11-01
10463,2022-03-19,3718.02,2021-11-23
10464,2022-08-06,2041.49,2022-02-01
10465,2021-05-29,903.80,2022-03-22
10466,2021-03-03,1190.23,2023-04-05
10467,2021-03-23,3438.11,2023-07-10
10468,2022-04-18,742.33,2021-11-23
10469,2023-05-31,2343.34,2023-12-31
10470,2023-11-28,439.37,2021-10-23
10471,2022-08-26,-570.11,2023-04-15
10472,2022-03-17,1516.04,2023-01-15
10473,2022-05-23,1668.67,2022-07-10
10474,2022-02-02,4770.73,2023-10-09
10475,2021-06-30,4613.31,2021-12-24
10476,2023-02-04,1087.49,2022-11-02
10477,2021-10-21,2569.30,2022-09-10
10478,2021-01-07,974.10,2023-12-16
10479,2022-02-13,-133.45,2023-12-08
10480,2021-10-15,711.42,2021-03-12
10481,2023-03-30,765.08,2023-07-22
10482,2023-03-30,4536.25,2021-03-28
10483,2021-12-19,452.85,2022-11-24
10484,2022-07-06,3936.28,2022-11-21
10485,2023-05-27,843.02,2023-09-07
10486,2021-07-16,-93.63,2021-07-13
10487,2022-05-25,209.45,2021-10-27
10488,2021-06-10,3891.98,2022-10-23
10489,2023-04-29,2809.98,2022-04-20
10490,2022-05-04,4530.98,2023-12-02
10491,2023-01-26,1524.27,2021-02-26
10492,2022-09-15,1362.52,2022-09-15
10493,2021-10-10,4671.54,2023-08-13
10494,2022-01-05,3239.20,2023-07-25
10495,2023-09-19,-996.42,2023-07-24
10496,2022-05-03,4966.24,2022-07-06
10497,2022-04-01,3309.97,2023-08-24
10498,2021-04-30,2362.00,2022-11-24
10499,2022-04-18,426.32,2023-12-15
10500,2022-09-06,-211.87,2021-04-14
10501,2023-02-14,2814.56,2023-11-30
10502,2023-10-18,4208.08,2022-04-04
10503,2021-06-20,1853.70,2023-01-27
10504,2022-09-01,-627.82,2023-09-20
10505,2023-04-21,1697.63,2022-05-05
10506,2021-10-12,3219.13,2021-09-18
10507,2021-10-06,712.36,2023-01-21
10508,2022-08-08,3187.63,2021-10-17
10509,2023-06-29,610.44,2022-02-21
10510,2023-12-22,4345.82,2023-10-09
10511,2022-09-20,3212.42,2023-12-10
10512,2022-07-25,2652.62,2023-08-05
10513,2022-02-11,4563.97,2023-06-22
10514,2023-12-07,2981.52,2023-12-12
10515,2022-03-17,2542.54,2021-04-01
10516,2023-05-04,4271.09,2021-05-15
10517,2022-04-05,3295.48,2022-03-04
10518,2021-04-10,3369.88,2022-07-15
10519,2022-05-18,3995.69,2021-10-19
10520,2022-03-09,1215.77,2021-09-08
10521,2023-05-12,2221.08,2022-12-14
10522,2023-11-01,3940.38,2023-06-14
10523,2021-02-04,1302.44,2021-08-08
10524,2023-03-07,654.48,2022-05-29
10525,2022-07-06,3770.14,2022-12-21
10526,2023-04-15,320.49,2022-10-15
10527,2023-12-09,417.11,2023-08-13
10528,2022-08-11,3001.23,2022-08-07
10529,2021-12-19,3529.68,2023-06-24
10530,2022-01-10,497.98,2021-06-05
10531,2022-12-31,2003.29,2021-01-20
10532,2023-06-30,-994.25,2021-08-15
10533,2023-07-01,1980.26,2021-10-18
10534,2022-10-20,-227.55,2023-02-03
10535,2023-11-11,1348.11,2023-01-08
10536,2023-03-09,4737.67,2023-09-24
10537,2021-10-01,1803.01,2023-03-18
10538,2022-06-17,-223.98,2021-07-22
10539,2021-07-16,1799.32,2022-11-14
10540,2022-02-24,-428.45,2022-08-16
10541,2022-01-19,4837.89,2023-10-11
10542,2023-07-18,293.73,2022-05-26
10543,2021-06-10,4294.97,2023-06-08
10544,2021-08-04,-425.21,2022-11-12
10545,2023-05-12,2375.62,2023-03-03
10546,2022-08-17,-798.94,2021-02-13
10547,2021-11-15,-868.04,2021-11-19
10548,2022-07-16,3407.10,2022-03-15
10549,2023-02-22,4886.21,2023-02-24
10550,2022-02-24,-387.32,2021-10-28
10551,2021-10-09,2676.78,2021-12-29
10552,2022-05-26,552.22,2021-05-15
10553,2023-02-06,-492.22,2022-10-26
10554,2022-04-09,4021.12,2022-05-26
10555,2023-04-02,2307.25,2022-04-20
10556,2022-01-14,514.10,2022-09-23
10557,2022-03-21,3938.19,2021-09-20
10558,2022-07-12,1246.87,2021-04-28
10559,2021-11-12,2484.95,2021-12-20
10560,2021-01-19,571.66,2021-03-04
10561,2021-03-22,2179.33,2022-11-06
10562,2023-08-15,-60.92,2022-12-02
10563,2021-01-30,4592.60,2022-04-20
10564,2023-02-15,137.73,2022-08-04
10565,2022-02-07,1080.15,2022-11-22
10566,2022-05-25,-516.14,2022-12-06
10567,2022-08-12,4762.23,2021-04-26
10568,2023-08-06,3804.57,2023-01-07
10569,2023-02-27,3294.40,2021-08-05
10570,2021-07-19,3524.76,2022-11-27
10571,2023-05-24,2487.69,2023-05-25
10572,2022-07-24,4265.31,2023-09-25
10573,2021-09-23,2945.19,2022-11-23
10574,2021-03-08,1962.92,2023-11-26
10575,2023-01-25,-90.19,2022-04-14
10576,2023-11-07,990.21,2022-07-24
10577,2022-08-31,2682.75,2022-07-23
10578,2022-05-07,4898.66,2023-04-24
10579,2023-07-24,3894.33,2021-09-09
10580,2022-01-05,-186.22,2021-07-21
10581,2022-11-19,262.08,2022-05-16
10582,2022-05-11,3042.66,2021-12-21
10583,2022-01-24,4909.01,2023-03-14
10584,2023-11-23,2442.39,2022-06-18
10585,2023-04-23,2868.28,2021-04-25
10586,2023-10-15,-758.44,2021-10-16
10587,2022-05-07,-424.11,2021-03-18
10588,2023-08-08,2678.58,2023-03-29
10589,2022-07-24,2845.26,2023-07-30
10590,2022-05-10,1707.79,2023-01-09
10591,2022-04-19,2942.54,2022-03-06
10592,2021-08-21,4769.07,2023-08-28
10593,2021-12-10,2685.40,2021-02-03
10594,2023-04-21,2234.57,2022-10-09
10595,2023-05-05,4444.22,2022-09-05
10596,2023-11-08,1553.65,2022-12-17
10597,2023-09-24,4050.67,2023-04-28
10598,2021-10-29,846.54,2023-08-06
10599,2022-06-10,-715.85,2021-02-27
10600,2021-06-18,1967.49,2022-07-04
10601,2022-10-23,2554.45,2023-07-23
10602,2021-01-22,4497.78,2021-03-31
10603,2022-01-03,4828.33,2021-08-05
10604,2023-01-05,-757.17,2021-09-07
10605,2021-06-13,1968.85,2022-12-15
10606,2021-06-19,3032.30,2021-11-17
10607,2021-07-30,752.32,2023-12-20
10608,2022-05-14,1459.94,2023-03-07
10609,2023-01-08,3608.90,2023-04-13
10610,2023-05-12,4847.49,2021-09-17
10611,2021-02-23,-712.48,2021-07-07
10612,2022-02-24,387.40,2022-11-27
10613,2021-10-15,4775.81,2022-10-07
10614,2022-07-29,241.56,2021-01-31
10615,2021-09-09,-721.79,2023-07-10
10616,2022-04-12,-87.20,2021-05-25
10617,2022-10-12,-308.03,2023-11-05
10618,2021-07-01,27.50,2021-05-01
10619,2022-06-08,1827.69,2021-02-14
10620,2022-07-19,4706.44,2023-04-02
10621,2021-11-24,1964.23,2023-12-27
10622,2022-05-06,-153.27,2021-06-01
10623,2022-11-12,2383.88,2022-10-19
10624,2023-02-08,283.23,2022-06-13
10625,2021-10-01,152.18,2021-10-16
10626,2022-03-15,3001.95,2023-03-22
10627,2021-07-17,4247.32,2021-10-16
10628,2021-03-11,3328.57,2023-03-26
10629,2022-12-04,3240.92,2021-05-03
10630,2021-08-26,1321.65,2022-06-07
10631,2023-10-13,2562.44,2021-04-17
10632,2023-08-12,2682.05,2022-01-25
10633,2021-11-27,3030.33,2022-02-13
10634,2021-02-05,-798.25,2023-04-06
10635,2022-06-27,-875.40,2023-06-02
10636,2023-12-23,538.94,2023-03-21
10637,2023-07-10,4830.09,2023-02-24
10638,2021-08-31,4243.47,2022-11-06
10639,2023-03-22,3386.89,2022-10-27
10640,2022-04-06,-245.98,2021-02-08
10641,2021-02-28,1114.06,2022-12-02
